######################################################################  Penguins
Priceless HS Penguins,PNG
QB,Aphran Aaron,23,2014,61,51,54,53,56,60,8.5,3
DL,Allen Rodgriguez,27,2011,59,32,45,62,60,40,2.5,2
DL,Terrey Grey,25,2013,81,63,30,20,19,50,3.5,4
LB,Malcom Navaro,23,2014,41,76,65,78,58,62,2,1
LB,Vantiel Sofusha,25,2013,61,70,68,73,61,57,5,4
LB,William Anderson,24,2013,65,71,60,43,50,61,1.5,1
LB,Vince Tail,23,2014,73,41,53,71,30,63,1.35,1
LB,Isaac Oliver,26,2009,60,41,32,40,17,61,2.45,2
LB,Martin Buren,29,2010,59,50,30,35,15,59,1.25,1
END_PLAYERS
######################################################################  Cox
Cayce X HS Cox,COX  
QB,Chadwick Thomason,21,2015,76,63,57,77,65,40,7.5,3
QB,Shaltin Martinez,25,2014,74,50,41,61,54,38,6.5,3
QB,Kenny Ashaad,24,2012,31,71,20,78,61,80,4.75,2
RB,Deshawn Ludwig,25,2012,66,71,78,61,74,83,3,1
RB,Rudolf Neil,24,2013,70,60,63,76,44,50,4,2
RB,John Tyler,25,2012,62,63,52,65,60,62,3,2
RB,Arnesto Noire,22,2014,65,45,60,65,50,53,1.5,1
WR,Lance Carter,25,2013,70,60,51,79,77,73,5.25,3
WR,Richardo Dominguez,24,2014,61,64,48,49,64,69,2.8,2
WR,Bill Hillard,26,2012,80,83,72,75,60,50,3.2,3
WR,Oliver Northwood,23,2015,61,64,48,49,64,69,4.25,4
WR,Jeremy Oak,25,2012,60,52,33,52,44,28,1.15,1
WR,James Polk,27,2011,57,51,31,48,45,25,2,2
OL,Adrian Jexing,27,2009,73,65,71,73,76,60,3,2
OL,Kevin Hooth,23,2014,64,59,70,68,71,64,2.5,2
OL,Manny Tother,23,2015,69,48,61,72,69,68,2.3,2
OL,Christian Baker,24,2011,71,65,60,58,61,62,1.3,1
OL,Utopia Smith,25,2011,60,58,41,60,44,52,1.3,1
OL,Xavier George,22,2015,63,61,50,32,60,21,2.1,2
OL,William Ling,25,2012,60,55,45,28,42,15,5.2,6
OL,Zachary Taylor,26,2011,58,54,46,27,41,14,4.3,5
OL,Millard Fillmore,27,2010,60,56,44,25,40,13,2.4,3
OL,Franklin Pierce,28,2009,59,40,46,37,22,20,3,5
K,Tobey Joshua,22,2015,78,71,61,73,62,71,5.4,3
K,Daniel Carl,24,2013,75,67,64,67,64,68,4.7,3
S,James Petterson,27,2010,76,69,74,72,60.40,6.8,3
S,John Swayne,23,2015,89,61,71,45,50,77,4.9,4
CB,Kami Sensi,27,2011,78,90,90,84,79,63,17.8,5
CB,Marvin Jefferson,23,2014,74,63,62,72,64,40,6.5,3
CB,Zacharia Lillard,24,2013,70,62,52,61,61,45,4.8,3
CB,Jesse Guitierez,22,2015,70,60,41,50,65,20,7.2,6
CB,Peter Hunter,28,2008,50,45,30,25,61,17,3.3,4
CB,James Buchanan,30,2006,52,42,32,22,64,14,1.1,2
DL,Deon Leo,23,2014,82,70,73,68,64,61,8.7,5
DL,Zar Lorin,23,2014,76,73,67,66,71,60,6.9,4
DL,Chuck Posey,24,2012,73,65,58,70,71,42,5,4
DL,Fredrick Ham,26,2012,71,71,61,54,61,53,3.8,2
DL,George Tillerson,23,2015,65,48,41,60,53,48,2.3,2
DL,Abraham Lincoln,24,2014,61,44,46,56,49,53,1.2,1
DL,Andrew Johnson,25,2013,66,50,40,61,53,48,1.1,1
LB,Ulric Hanson,25,2011,76,68,65,71,65,52,9.5,4
LB,Sulley Richardson,24,2012,65,61,57,63,61,62,6.2,3
LB,Brock Shull,23,2014,70,48,67,70,61,42,4.5,2
LB,Larry Deckeright,24,2013,71,52,44,51,45,61,3.1,2
LB,Ulysses Grant,25,2012,69,58,54,45,38,60,2.6,2
LB,Rutherford Hayes,26,2011,70,55,47,40,59,48,3,3
LB,James Garfield,27,2010,69,54,46,39,58,39,1.3,1
LB,Chester Arthur,28,2009,67,59,44,44,56,23,1.2,1
END_PLAYERS
######################################################################  Dragon
Golden HS Dragons,GD
QB,Tyson Bacon,24,2013,76,71,60,67,72,65,5.7,2
QB,Gillard Fishbro,23,2014,74,63,61,63,66,58,3.9,2
QB,Brit Rart,26,2011,71,61,68,65,65,38,3.7,2
RB,Untyler Pillis,24,2013,65,68,71,67,71,60,4,1
RB,Fester Chile,28,2009,60,72,50,61,68,50,3.7,2
RB,Michael Kennedy,29,2009,50,70,61,71,50,40,2.6,3
RB,Homer Seinfeld,24,2014,69,58,70,44,76,68,2.4,3
RB,Quinton Davaris,25,2012,78,72,64,84,61,75,3.3,4
WR,Joshua Vargis,23,2014,74,67,65,83,62,68,8.2,5
WR,Sergio Zenth,26,2010,73,71,64,74,65,60,7.1,4
WR,Oliver Yeezy,25,2011,70,60,55,70,63,54,7,5
WR,Chuck Pistol,25,2012,77,41,48,60,72,68,3.6,3
WR,Christopher Prelier,24,2013,71,80,82,78,80,77,2.8,2
WR,Grover Cleveland,23,2015,65,66,68,61,72,69,2.9,3
OL,Paul Roodulf,27,2010,77,79,81,79,74,76,7.3,4
OL,Clark Bradford,28,2009,75,81,80,74,81,70,6.9,3
OL,Quincy Lillard,23,2014,80,78,65,70,80,79,5.7,2
OL,Wilson Petigrew,25,2013,62,80,79,80,61,51,5.7,4
OL,Abram Wallace,26,2010,75,62,78,81,60,54,2.6,2
OL,Shad Decota,24,2014,71,54,48,63,70,51,1.6,1
OL,Lyson Adrien,24,2013,68,42,37,48,79,41,2.4,2
OL,Lawrence Hernandex,25,2013,67,51,43,71,68,77,3.1,3
OL,Benjamin Harrison,26,2012,66,49,46,70,70,72,4.8,5
OL,Grover Cleveland,23,2015,64,50,45,65,74,71,69,4.3,5
K,Ashley Shakur,26,2011,77,76,80,66,55,78,4.8,2
K,Arnesto Domeno,21,2015,61,54,51,39,60,65,3.8,2
K,Odexius Smithiferd,25,2013,79,71,80,78,74,81,1.1,2
S,Devin Crick,22,2015,81,80,69,70,81,60,12.8,5
S,Carl Lenex,23,2014,77,68,71,65,76,69,7.9,4
S,Mario Castanza,23,2014,77,64,70,69,70,60,5.2,3
S,DesMark Lion Jr III,24,2013,76,61,59,89,65,70,7.9,4
CB,John Likson,25,2012,71,69,60,71,63,77,6.2,4
CB,Marne Zeth,25,2014,76,71,81,69,71,80,5.5,3
CB,Kent Wayne,26,2011,65,70,68,70,65,71,3.2,2
CB,Joe Roger,23,2013,69,72,65,75,64,73,3,2
CB,Pill Link,25,2010,70,61,72,68,71,68,3.9,4
CB,Lee Hardwell,23,2014,75,69,81,80,75,76,1.3,2
DL,Lawrence Law,24,2013,76,71,75,78,71,69,5.9,3
DL,Arnold Dekate,24,2013,76,71,69,61,71,68,5.1,3
DL,Kate Johnson,22,2015,71,65,67,71,65,66,6.8,4
DL,Lenard Jorey,24,2013,71,60,58,64,63,65,4.2,3
DL,Lith CarMichael,23,2014,65,61,55,66,51,48,3.1,2
DL,Jay Frank,22,2015,67,61,57,71,68,58,2.4,3
DL,Mason Semi,21,2015,71,69,60,90,71,4.9,6
DL,Vernin Lithonium,22,2015,66,54,70,50,60,55,3.1,4
DL,Titan Energy,23,2014,68,71,69,60,90,71,1.8,3
LB,James Pie,24,2013,70,61,58,83,65,6.4,4
LB,King Wright,25,2012,65,71,45,61,79,50,4.8,3
LB,Earl Jackson,21,2015,60,68,70,55,81,48,4.9,3
LB,Christian Tyson,24,2013,71,60,45,44,69,30,2.8,2
LB,Ginn Teach,24,2013,71,60,45,44,69,30,4.1,4
LB,William McKinney,30,2007,67,57,67,27,50,30,4.5,5
LB,Theodore Roosevelt,23,2014,79,48,63,31,37,22,2.3,3
LB,William Taft,25,2013,68,58,67,38,45,21,1,2
END_PLAYERS
######################################################################  Turtles
Davinci HS Turtles,DT
QB,Rudy Sither,23,2013,84,65,73,59,78,54,12.4,6
QB,Daniel Axis,27,2010,75,60,74,61,67,39,5.2,3
QB,Leeson Cinnamon,21,2015,68,80,70,59,60,40,6.3,4
QB,Richard Barnax,23,2013,70,65,67,40,55,38,2.1,3
RB,Pete Lopez,24,2012,77,71,68,71,40,30,5.4,3
RB,Berry Jackie,23,2013,78,67,81,65,41,28,2.2,2
RB,Kent Roddin,22,2015,67,70,69,60,51,32,2.1,2
RB,Simon Pride,21,2015,72,63,58,65,41,18,4.7,5
RB,Luna Chilley,27,2011,70,61,45,71,30,20,3.5,4
WR,Regionald Ply,24,2013,61,71,60,79,45,38,3.4,2
WR,Gary Bill,23,2014,50,60,51,67,50,41,4.5,3
WR,Michael Angel,22,2015,72,60,44,70,35,40,4.4,3
WR,Mario Lenntle,25,2014,70,65,45,65,30,20,3.3,3
WR,Fauna Rose,23,2013,61,68,71,45,38,60,2.8,3
WR,William Cantin,26,2010,64,58,49,33,50,60,1.1,2
OL,Cherman Lilly,24,2014,89,73,80,63,75,68,8.9,5
OL,Johnathan Boat,23,2014,73,65,71,67,73,64,4.2,2
OL,Harold Garnard,21,2015,71,70,68,59,71,66,7.3,4
OL,Dian Einstien,24,2013,77,65,61,70,54,60,3.8,2
OL,Ron Niel,22,2014,69,70,58,63,49,43,4.7,3
OL,Joel Chu,21,2015,77,41,39,70,29,45,3.7,2
OL,Chance Stephrot,27,2011,67,59,29,50,63,21,3.8,3
OL,Woodrow Wilson,26,2012,65,57,26,45,60,22,2.7,3
OL,Warren Harding,24,2014,59,56,27,46,58,23,4.8,6
OL,Calvin Coolidge,26,2011,54,62,34,51,34,21,3.2,5
OL,Herbert Hoover,25,2012,55,61,31,45,32,21,1.2,3
K,Jaden Ulin,25,2011,70,41,39,78,61,70,3.4,2
K,Willard Ford,23,2014,68,71,66,65,71,66,2.3,3
S,Tupac Black,24,2012,71,69,74,71,60,61,3.8,1
S,Sean Push,21,2015,68,59,78,68,59,70,2.8,2
S,Kieth Daniel,27,2010,70,64,60,57,61,55,2.1,2
CB,Connor Vizor,26,2010,74,67,68,64,68,45,4.8,3
CB,Drake Kluvion,25,2011,68,59,61,65,70,50,3.2,2
CB,Wisker Wine,23,2013,60,65,40,58,60,37,3.9,3
CB,Black Wait,24,2012,61,45,50,60,50,49,2.4,2
CB,Jameson Anderson,23,2013,67,48,50,77,50,48,2.6,3
CB,Tory Crytuff,30,2004,60,50,38,47,41,38,2.3,3
DL,Leroy Uste,23,2014,72,67,59,76,60,59,5.7,3
DL,Carlos Supply,33,2005,70,66,54,61,55,41,5.5,3
DL,Finnigan Bale,23,2015,64,71,61,58,60,61,4.6,3
DL,Cassidy Lox,22,2014,61,58,69,68,45,46,4.8,4
DL,Gabriel Shollin,27,2010,63,64,50,51,60,71,5.7,5
DL,Julian Ganiste,25,2012,70,60,41,48,33,20,4.4,4
DL,Gant Zeken,28,2009,68,45,39,39,46,30,1.3,1
DL,Franklin Roosevelt,24,2014,43,38,45,34,42,59,1.2,1
LB,Alex Ben,31,2007,80,79,68,77,72,63,3.7,2
LB,Pula Gota,23,2014,71,68,71,59,70,61,7.9,5
LB,Bumpee Dee,24,2013,65,64,59,65,46,60,4.8,3
LB,Michael Shadrack,28,2009,70,59,70,66,51,41,6.9,4
LB,Joelee Brady,33,2006,68,80,54,60,55,47,1.4,1
LB,Harry Truman,26,2012,76,67,69,50,56,43,1.8,2
LB,Dwight Eisenhower,25,2013,68,56,49,50,43,36,2.3,3
END_PLAYERS
######################################################################  Bikes
Rosa Parks Bicycles,RPB
QB,Martine Crown,22,2015,89,84,78,80,73,72,5.8,2
QB,Paul AAlexande,21,2015,80,75,66,67,71,65,3.4,1
QB,Michael King Jr,25,2013,70,61,70,80,67,61,8.9,4
RB,Cody Sam,27,2011,60,72,81,71,80,68,9.9,4
RB,Snow Smith,24,2013,72,69,78,71,78,62,4.5,2
RB,Shawn Wilken,26,2011,68,65,71,67,80,60,3.8,2
WR,John Pop,30,2006,70,66,79,85,79,68,14.9,4
WR,Joe Yebad,30,2006,90,88,70,81,78,66,12.3,3
WR,Sun Car,25,2011,75,66,71,61,60,51,4.9,2
WR,Moon Duss,23,2014,67,60,53,60,70,25,1.9,1
WR,Emmit Rider,24,2014,58,61,58,59,60,37,2.8,2
WR,Jet Wet,21,2015,68,70,37,41,73,36,1.5,1
OL,Malcom Jabrawl,23,2014,80,71,64,71,78,82,6.9,2
OL,Byron Bryant,21,2015,81,73,60,69,67,85,4.1,2
OL,Sir Ivy,26,2012,78,69,57,78,69,77,3.3,2
OL,Kanye East,25,2013,74,63,59,70,60,80,4.9,3
OL,Cesar Rose,27,2010,80,60,55,68,51,79,5.7,4
OL,Kim Sue,22,2014,67,66,71,70,59,53,6.8,5
OL,Amber Ray,22,2014,67,66,71,70,55,60,5,4
OL,John Kennedy,32,2005,61,81,54,68,34,29,2.3,2
OL,Lyndon Johnson,28,2009,66,79,65,45,31,21,1.9,2
OL,Richard Nixon,26,2011,67,43,44,21,34,56,1,1
K,Brady Brown,21,2015,78,68,80,70,68,59,2.1,1
K,Vaugn Board,25,2011,67,61,60,65,60,39,3.9,4
S,Verse Sis,23,2014,79,68,80,70,68,59,6.7,3
S,Me Hun,26,2010,77,69,75,69,70,39,2.9,2
CB,Henry Maison,28,2009,81,70,66,72,75,60,8.9,5
CB,Chuck Bink,26,2011,79,64,71,65,70,50,6,5
CB,Pent Lervario,28,2008,68,65,65,71,60,49,3,2
CB,Lyson Davis,29,2007,71,66,48,61,62,51,5.9,5
CB,Marious LavCole,28,2007,71,66,48,61,62,51,1.8,2
CB,Gerald Ford,28,2007,76,59,57,43,51,49,3.9,4
DL,Avion Bink,27,2012,86,77,72,68,67,71,7.2,5
DL,Bob Thornrose,22,2015,71,68,70,71,64,73,3.7,2
DL,Sity Daen,25,2013,70,69,67,70,48,75,4.9,3
DL,Will Owl,24,2014,80,71,56,64,51,69,2.6,1
DL,Tavion Ashtoney,27,2009,71,60,53,60,50,61,1.9,1
DL,Talion Suesh,25,2013,69,54,48,51,37,67,4.2,3
DL,Jimmy Carter,26,2012,68,55,43,44,37,46,2.8,3
DL,George Bush,28,2010,58,44,38,43,37,37,1.1,1
LB,Yrellion Breeza,25,2013,72,67,58,72,63,54,2.3,1
LB,Nguyen Holiday,31,2005,76,61,51,71,61,47,5,4
LB,McCollough Johnson,28,2009,77,63,54,69,61,40,3.6,2
LB,Chad PPerr,24,2013,65,69,59,58,43,38,2,1
LB,Astro Willard,22,2014,71,54,38,51,40,20,1.3,2
LB,Donavan Castro,23,2014,61,50,40,38,30,28,1.1,2
LB,Bill Clinton,31,2004,67,45,43,29,43,48,1.3,3
LB,Barack Obama,30,2006,59,69,43,22,21,28,1.9,4
END_PLAYERS
######################################################################  Knights
Private Academy Knights,PAK
QB,Doug Chan,25,2013,83,71,68,75,57,59,9,3
QB,Bale Inth,23,2014,79,64,70,61,60,51,5.8,2
QB,Diamond Love,23,2014,76,69,60,65,43,69,3.5,2
RB,Klemon Mendoza,28,2009,73,67,83,80,69,72,6.7,2
RB,Berry Road,24,2013,70,60,75,76,65,68,4.3,2
RB,Paul Thessolonian,27,2011,68,76,54,50,71,65,1.6,1
RB,John Ruth,26,2011,68,76,54,50,71,63,1.9,2
WR,Matt Cut,25,2013,70,81,70,80,67,59,3.9,2
WR,Danny Bishop,23,2014,69,72,73,76,71,65,4.6,3
WR,Cris Genie,23,2015,72,68,58,70,68,69,2.8,2
WR,Carl Sis,22,2015,67,71,61,76,70,54,4.9,5
WR,Peter New,24,2014,70,61,58,61,62,40,3.7,4
WR,Mark Cousin,23,2014,81,50,61,59,41,32,1.1,2
OL,Robert God,22,2015,83,67,71,76,80,77,14.9,6
OL,Dill Pick,23,2014,80,71,75,70,71,76,4.8,2
OL,Clark Doge,27,2012,81,69,70,70,71,76,8.9,5
OL,Stew Potato,24,2013,77,70,61,72,68,78,6,4
OL,Chuck Brother,25,2012,71,67,69,68,70,73,4.2,3
OL,Zeron Pluse,24,2014,76,70,70,68,69,70,3.8,3
OL,Ishmael David,24,2013,73,69,60,65,61,65,2.3,2
OL,Donald Trump,24,2014,79,58,76,53,54,60,1.7,2
OL,George Bush Jr,25,2013,68,77,46,42,44,31,1.2,2
OL,George Carver,23,2015,89,43,69,32,31,29,1.9,3
K,Aken Python,27,2009,81,67,71,80,71,80,7.9,5
K,Seth Serplin,21,2015,78,69,67,78,77,74,3.1,2
K,Joe Cash,32,2005,80,66,70,71,68,72,1.6,2
S,Semon Duckworth,25,2012,76,69,77,80,71,69,6.3,4
S,Daryl Dixon,21,2015,70,78,61,65,70,60,3.6,3
CB,Smith Black,28,2009,80,79,65,74,69,73,8.9,6
CB,Alrick Richardson,26,2011,75,77,61,68,72,59,2.4,1
CB,Patrick Richardson,28,2008,70,69,59,71,61,70,7.9,7
CB,Lysal Linister,23,2014,67,65,58,70,48,50,1.4,1
CB,Cameron Yellow,22,2015,65,71,61,60,55,60,1.2,1
CB,Jill Shine,25,2013,61,65,51,61,70,50,3.6,4
DL,Mathew Glass,26,2012,70,61,63,69,75,68,4.8,2
DL,Greg Genesis,24,2013,76,58,69,71,50,67,1.9,1
DL,Timion King,25,2011,80,60,49,59,60,58,3.2,2
DL,Revel Kim,21,2015,69,40,58,41,50,55,4.1,3
DL,Juda Joshua,24,2014,69,54,58,71,41,48,4.4,4
DL,Simon Rueben,23,2014,61,65,65,65,50,40,3.1,3
DL,Pop Lexington,22,2015,69,40,58,41,50,38,2.2,3
DL,Alex Judge,24,2012,60,40,50,50,29,30,1.2,2
LB,Emitt Bob,23,2014,68,75,69,70,69,61,6.7,4
LB,Shark Pinky,25,2012,71,69,51,58,75,60,2.9,1
LB,Bless Dalesha,24,2013,68,59,60,70,60,60,2.4,1
LB,Ashley Plex,26,2009,59,65,50,38,58,40,3.6,3
LB,Love Sue,27,2008,63,61,43,29,38,29,2.3,2
LB,Sergio Sue,31,2005,61,58,59,34,29,21,1.9,2
LB,Raymond Mick,25,2012,50,48,29,20,19,26,2,3
END_PLAYERS
######################################################################  Whales
Saint Jacob Whales,SJW
QB,Lit Artfird,23,2015,83,75,55,68,79,84,4.5,2
QB,Load Ghit,30,2007,65,76,46,70,63,70,3.6,2
QB,Logan Arby,26,2011,70,66,51,70,51,43,2.7,2
RB,Creed Moore,21,2015,65,50,40,58,71,62,3.9,2
RB,Main Stron,21,2015,61,52,29,29,69,70,4.9,4
RB,Shell King,25,2012,61,48,39,57,67,66,2.8,2
RB,Bruce Whisky,24,2015,64,50,29,29,69,70,3.2,3
RB,Red McDonald,26,2010,56,60,25,30,64,57,1.8,2
WR,Caleb Niedwald,23,2013,81,80,50,65,73,63,5.6,3
WR,Kyle Cross,29,2006,83,75,60,71,69,55,4.1,2
WR,Antonio Marcus,26,2010,78,71,60,70,65,49,1.3,1
WR,Agnis Parkway,26,2011,80,70,59,60,71,50,2.5,2
WR,Connor Cola,25,2012,75,68,60,66,70,48,2.3,2
WR,Dayton Bridge,23,2015,68,65,48,71,60,55,1,1
WR,Randy Yarrington,24,2014,61,50,61,71,48,50,1.9,2
OL,Tom Exit,23,2015,76,70,65,67,69,71,7.9,5
OL,Silver Ambient 24,2013,70,68,59,65,58,76,8,5
OL,Chuck Nash,25,2012,72,68,58,56,60,67,5.8,3
OL,Isaac Stationer,22,2015,69,57,40,60,50,77,3.4,2
OL,Hotel River,24,2014,68,60,41,55,60,56,4.7,3
OL,Aquarena Sping,26,2013,67,53,48,60,41,54,3.7,3
OL,Luke Bastrop,29,2009,62,50,50,30,61,58,1.2,1
OL,Lockhart Freebird,24,2014,61,47,41,50,25,67,2.6,3
OL,Howard Johnson,28,2009,62,50,50,30,58,59,2.9,4
K,Carl Seguin,29,2014,73,67,61,73,77,69,2.6,2
K,Chris Allen,23,2015,75,71,58,69,72,68,1,1
S,Wentz Lobster,24,2014,70,60,69,64,76,70,7.4,3
S,Gale Wonder,23,2015,78,51,45,70,68,59,3.8,2
S,Carlos Wimberly,22,2015,76,70,69,59,60,50,1.8,3
CB,Lewis McCarty,36,2003,69,71,50,65,73,76,6.4,4
CB,Usher Hillroad,24,2015,70,65,45,70,68,59,5.9,3
CB,Cardi Lanedown,22,2015,68,59,48,50,69,49,2.6,2
CB,Bob Statebus,32,2004,61,49,40,52,71,30,3.5,3
CB,Ramjeep Centerpoint,26,2011,58,37,31,48,1.6,2
CB,Derrick X,25,2014,49,66,43,33,26,32,1.2,2
DL,Walton Blue,28,2009,70,65,66,69,71,59,7.8,4
DL,Sam Heartpurple,21,2015,76,61,68,70,61,60,4,2
DL,Bill Bell,29,2008,70,59,71,58,69,63,5.9,3
DL,Creek York,25,2013,69,57,66,59,64,51,2.2,1
DL,Coral Lanez,24,2015,72,63,70,54,63,54,9.9,5
DL,Nevan York,27,2009,73,64,66,58,60,51,11,6
DL,Creek Klimintine,23,2014,70,69,50,48,60,51,2.2,1
DL,Eric X,31,2007,68,49,67,57,51,35,1.3,1
LB,Watson O’Brian,22,2015,69,83,78,60,59,60,9,5
LB,Conrad Khole,25,2013,71,68,54,71,60,72,7.2,4
LB,Trunks Andy,28,2008,75,70,50,69,54,71,3.7,2
LB,Brad Canyon,24,2015,65,68,70,61,53,50,5.4,3
LB,Titan Creeksite,29,2009,70,63,59,63,48,60,2.1,2
LB,Schillterbahn Deo,25,2013,70,64,63,58,49,60,1,1
LB,Fredrick X,32,2007,58,59,65,54,48,31,1.7,2
LB,Greg X,27,2013,59,47,52,57,41,31,3.8,4
LB,Herris X,31,2009,68,39,48,67,49,53,1.4,2
END_PLAYERS
######################################################################  Rhinos
Learning Center Rhinos,LCR
QB,Jeff McQueeny,26,2012,71,62,50,61,50,30,13,6
QB,Daisy Hut,22,2015,63,51,47,49,63,31,2.8,1
QB,Sam Bib,23,2014,61,58,41,60,40,23,5.6,2
QB,Alvon Walnut,25,2013,59,60,28,63,24,61,1.4,1
RB,Solms Anthony,24,2014,61,42,57,41,52,56,4.4,3
RB,Eugiene Ritas,27,2010,60,38,48,60,34,41,3.6,2
RB,Acker Paving,28,2009,62,43,39,50,39,37,2.3,2
RB,Bridget Melvin,24,2013,51,60,30,47,50,30,1.1,1
RB,Magnolia Herd,27,2010,63,47,48,39,40,35,1.7,2
WR,Lion Psy,26,2012,64,69,66,42,61,49,3.4,2
WR,Caleb Herburlos,34,2006,60,71,31,45,41,27,2.9,2
WR,Steve Creek,26,2013,71,40,39,56,61,20,5.8,4
WR,Cavern Four,28,2009,60,48,29,48,56,31,3.9,3
WR,Abram X,25,2014,67,43,22,36,48,44,2.2,2
WR,Sagin X,28,2011,60,42,57,23,21,33,1.9,2
OL,Danny Wiederstien,26,2011,70,51,60,76,40,45,4.9,2
OL,Park Riven,27,2011,70,51,60,76,40,45,3.1,1
OL,Cane Shertz,24,2013,68,54,62,65,51,30,9.4,4
OL,Basse Ridge,22,2015,57,62,61,59,48,31,4.3,3
OL,Olympia Chilli,21,2016,61,53,54,55,41,28,9.8,5
OL,Bexar Loob,23,2014,54,48,40,38,40,31,3.5,2
OL,Pal Booker,27,2010,60,51,37,39,40,50,2.8,2
OL,Anderson Selma,27,2009,60,51,37,39,40,50,1.7,2
K,Randolph Topperwein,22,2015,61,60,47,60,68,65,3.2,2
K,Bovina Xania,26,2011,65,40,51,59,63,67,1.6,2
K,Warzbach O’Connor,25,2012,65,51,47,61,48,59,1.3,3
S,Morgan Star,26,2012,78,59,72,64,71,75,6.2,2
S,Pike Way,29,2008,69,64,70,60,73,69,4.3,2
S,Boss Law,26,2011,71,60,68,54,71,67,8.4,5
CB,Terrence Starlight,29,2009,67,69,49,61,70,71,4.6,2
CB,Lance Ambu,28,2009,68,54,42,60,67,68,3.8,2
CB,Merg Right,26,2010,61,55,40,57,60,67,2.4,2
CB,Obey Worn,28,2010,64,48,50,41,62,60,4,3
CB,Bing Oaks,26,2012,68,47,30,40,58,62,5,4
CB,Wizard Jim,24,2014,67,46,31,48,64,43,3.6,3
DL,Thousand Windcrest,27,2011,84,76,81,81,87,64,8.8,3
DL,Connally Lopez,36,2004,78,69,54,82,83,59,4.3,2
DL,Alamo Thrive,27,2010,80,68,65,79,71,73,6.9,4
DL,Antonio South,23,2014,76,70,66,69,71,80,7.2,5
DL,Ruben Glass,29,2009,77,69,70,80,71,68,3.3,2
DL,Samuel Les,32,2007,76,71,67,77,60,71,2.7,2
LB,May Ice,23,2015,77,70,54,71,76,64,5.7,2
LB,Perrin Betel,24,2014,78,70,49,72,69,66,4.5,1
LB,McArthur Park,23,2014,71,65,66,71,70,51,3.2,1
LB,Carl Budget,24,2013,70,66,50,72,70,60,4.3,2
LB,Shut Down,23,2013,72,63,55,71,68,72,4.8,3
LB,Highway Pedro,28,2009,67,53,64,68,55,40,4.1,3
END_PLAYERS
######################################################################  Ranchers
County Hieght HS Ranchers,CHR
QB,Bob Jeffrey,23,2014,71,57,60,75,71,62,4.5,1
QB,Christopher Shakur,27,2011,68,72,64,70,65,66,2.8,1
RB,Donte Charles,32,2006,73,58,60,68,54,67,3.9,1
RB,Franklin George,24,2013,65,60,57,58,60,54,4.7,2
RB,Paul Saggent,26,2011,61,57,60,61,54,49,5.9,3
RB,Sergio Lamont,24,2014,59,60,54,63,75,71,2.3,1
